Signal Type: RIP_Thorax_Type;
Start Time: 26/04/2023 19:08:36;
Sample Rate: 32;
Length: 9992;
Unit: ;
;
Data:;
19:36:43,406;1
19:36:43,437;-7
19:36:43,469;-16
19:36:43,500;-25
19:36:43,531;-35
19:36:43,562;-46
19:36:43,594;-58
19:36:43,625;-70
19:36:43,656;-83
19:36:43,688;-96
19:36:43,719;-109
19:36:43,750;-123
19:36:43,781;-137
19:36:43,812;-151
19:36:43,844;-164
19:36:43,875;-177
19:36:43,906;-189
19:36:43,938;-200
19:36:43,969;-210
19:36:44,000;-219
19:36:44,031;-227
19:36:44,062;-233
19:36:44,094;-238
19:36:44,125;-242
19:36:44,156;-244
19:36:44,187;-244
19:36:44,219;-244
19:36:44,250;-241
19:36:44,281;-238
19:36:44,312;-233
19:36:44,344;-228
19:36:44,375;-221
19:36:44,406;-214
19:36:44,437;-205
19:36:44,469;-197
19:36:44,500;-188
19:36:44,531;-178
19:36:44,562;-169
19:36:44,594;-159
19:36:44,625;-149
19:36:44,656;-139
19:36:44,687;-129
19:36:44,719;-120
19:36:44,750;-110
19:36:44,781;-100
19:36:44,812;-91
19:36:44,844;-81
19:36:44,875;-72
19:36:44,906;-63
19:36:44,937;-53
19:36:44,969;-44
19:36:45,000;-35
19:36:45,031;-26
19:36:45,062;-17
19:36:45,094;-8
19:36:45,125;0
19:36:45,156;9
19:36:45,188;17
19:36:45,219;25
19:36:45,250;33
19:36:45,281;40
19:36:45,312;47
19:36:45,344;54
19:36:45,375;60
19:36:45,406;65
19:36:45,438;70
19:36:45,469;74
19:36:45,500;78
19:36:45,531;81
19:36:45,562;83
19:36:45,594;85
19:36:45,625;86
19:36:45,656;86
19:36:45,688;86
19:36:45,719;85
19:36:45,750;84
19:36:45,781;82
19:36:45,812;79
19:36:45,844;76
19:36:45,875;72
19:36:45,906;67
19:36:45,937;62
19:36:45,969;57
19:36:46,000;51
19:36:46,031;45
19:36:46,062;39
19:36:46,094;32
19:36:46,125;25
19:36:46,156;18
19:36:46,187;11
19:36:46,219;5
19:36:46,250;-2
19:36:46,281;-8
19:36:46,312;-14
19:36:46,344;-20
19:36:46,375;-25
19:36:46,406;-29
19:36:46,437;-33
19:36:46,469;-36
19:36:46,500;-38
19:36:46,531;-40
19:36:46,562;-40
19:36:46,594;-40
19:36:46,625;-39
19:36:46,656;-37
19:36:46,688;-35
19:36:46,719;-32
19:36:46,750;-28
19:36:46,781;-24
19:36:46,812;-20
19:36:46,844;-15
19:36:46,875;-10
19:36:46,906;-5
19:36:46,938;-1
19:36:46,969;4
19:36:47,000;8
19:36:47,031;12
19:36:47,062;16
19:36:47,094;20
19:36:47,125;23
19:36:47,156;25
19:36:47,188;27
19:36:47,219;29
19:36:47,250;31
19:36:47,281;33
19:36:47,312;34
19:36:47,344;35
19:36:47,375;36
19:36:47,406;38
19:36:47,437;39
19:36:47,469;41
19:36:47,500;43
19:36:47,531;45
19:36:47,562;47
19:36:47,594;50
19:36:47,625;53
19:36:47,656;57
19:36:47,687;61
19:36:47,719;65
19:36:47,750;70
19:36:47,781;74
19:36:47,812;79
19:36:47,844;84
19:36:47,875;89
19:36:47,906;93
19:36:47,937;98
19:36:47,969;103
19:36:48,000;107
19:36:48,031;111
19:36:48,062;114
19:36:48,094;117
19:36:48,125;120
19:36:48,156;122
19:36:48,187;124
19:36:48,219;125
19:36:48,250;126
19:36:48,281;126
19:36:48,312;127
19:36:48,344;126
19:36:48,375;126
19:36:48,406;126
19:36:48,438;125
19:36:48,469;125
19:36:48,500;124
19:36:48,531;123
19:36:48,562;123
19:36:48,594;122
19:36:48,625;122
19:36:48,656;122
19:36:48,688;121
19:36:48,719;121
19:36:48,750;121
19:36:48,781;121
19:36:48,812;121
19:36:48,844;121
19:36:48,875;121
19:36:48,906;121
19:36:48,938;120
19:36:48,969;120
19:36:49,000;119
19:36:49,031;118
19:36:49,062;117
19:36:49,094;115
19:36:49,125;114
19:36:49,156;112
19:36:49,187;109
19:36:49,219;107
19:36:49,250;105
19:36:49,281;102
19:36:49,312;99
19:36:49,344;97
19:36:49,375;94
19:36:49,406;91
19:36:49,437;88
19:36:49,469;85
19:36:49,500;83
19:36:49,531;80
19:36:49,562;77
19:36:49,594;74
19:36:49,625;71
19:36:49,656;68
19:36:49,687;65
19:36:49,719;61
19:36:49,750;57
19:36:49,781;53
19:36:49,812;48
19:36:49,844;42
19:36:49,875;37
19:36:49,906;30
19:36:49,938;23
19:36:49,969;15
19:36:50,000;7
19:36:50,031;-2
19:36:50,062;-11
19:36:50,094;-20
19:36:50,125;-30
19:36:50,156;-40
19:36:50,188;-50
19:36:50,219;-61
19:36:50,250;-71
19:36:50,281;-81
19:36:50,312;-90
19:36:50,344;-100
19:36:50,375;-108
19:36:50,406;-116
19:36:50,438;-124
19:36:50,469;-131
19:36:50,500;-137
19:36:50,531;-142
19:36:50,562;-147
19:36:50,594;-151
19:36:50,625;-154
19:36:50,656;-157
19:36:50,687;-159
19:36:50,719;-160
19:36:50,750;-160
19:36:50,781;-160
19:36:50,812;-159
19:36:50,844;-158
19:36:50,875;-156
19:36:50,906;-154
19:36:50,937;-151
19:36:50,969;-148
19:36:51,000;-145
19:36:51,031;-141
19:36:51,062;-136
19:36:51,094;-132
19:36:51,125;-126
19:36:51,156;-121
19:36:51,187;-115
19:36:51,219;-109
19:36:51,250;-102
19:36:51,281;-95
19:36:51,312;-88
19:36:51,344;-80
19:36:51,375;-72
19:36:51,406;-64
19:36:51,437;-56
19:36:51,469;-47
19:36:51,500;-38
19:36:51,531;-30
19:36:51,562;-21
19:36:51,594;-12
19:36:51,625;-3
19:36:51,656;6
19:36:51,688;15
19:36:51,719;24
19:36:51,750;33
19:36:51,781;41
19:36:51,812;49
19:36:51,844;57
19:36:51,875;65
19:36:51,906;72
19:36:51,938;79
19:36:51,969;85
19:36:52,000;92
19:36:52,031;97
19:36:52,062;103
19:36:52,094;107
19:36:52,125;112
19:36:52,156;116
19:36:52,187;120
19:36:52,219;123
19:36:52,250;126
19:36:52,281;128
19:36:52,312;130
19:36:52,344;132
19:36:52,375;134
19:36:52,406;135
19:36:52,437;136
19:36:52,469;136
19:36:52,500;136
19:36:52,531;136
19:36:52,562;136
19:36:52,594;135
19:36:52,625;134
19:36:52,656;132
19:36:52,687;131
19:36:52,719;128
19:36:52,750;125
19:36:52,781;122
19:36:52,812;118
19:36:52,844;114
19:36:52,875;109
19:36:52,906;103
19:36:52,937;97
19:36:52,969;91
19:36:53,000;84
19:36:53,031;76
19:36:53,062;68
19:36:53,094;60
19:36:53,125;52
19:36:53,156;43
19:36:53,188;34
19:36:53,219;25
19:36:53,250;17
19:36:53,281;8
19:36:53,312;0
19:36:53,344;-7
19:36:53,375;-15
19:36:53,406;-21
19:36:53,438;-27
19:36:53,469;-32
19:36:53,500;-37
19:36:53,531;-40
19:36:53,562;-43
19:36:53,594;-46
19:36:53,625;-47
19:36:53,656;-48
19:36:53,688;-48
19:36:53,719;-48
19:36:53,750;-47
19:36:53,781;-46
19:36:53,812;-44
19:36:53,844;-43
19:36:53,875;-41
19:36:53,906;-39
19:36:53,937;-37
19:36:53,969;-35
19:36:54,000;-33
19:36:54,031;-31
19:36:54,062;-30
19:36:54,094;-28
19:36:54,125;-27
19:36:54,156;-26
19:36:54,187;-25
19:36:54,219;-24
19:36:54,250;-23
19:36:54,281;-22
19:36:54,312;-21
19:36:54,344;-20
19:36:54,375;-19
19:36:54,406;-18
19:36:54,437;-16
19:36:54,469;-15
19:36:54,500;-13
19:36:54,531;-11
19:36:54,562;-8
19:36:54,594;-5
19:36:54,625;-2
19:36:54,656;1
19:36:54,688;5
19:36:54,719;9
19:36:54,750;13
19:36:54,781;17
19:36:54,812;21
19:36:54,844;25
19:36:54,875;30
19:36:54,906;34
19:36:54,938;38
19:36:54,969;42
19:36:55,000;45
19:36:55,031;49
19:36:55,062;52
19:36:55,094;55
19:36:55,125;57
19:36:55,156;59
19:36:55,188;61
19:36:55,219;63
19:36:55,250;64
19:36:55,281;65
19:36:55,312;66
19:36:55,344;67
19:36:55,375;67
19:36:55,406;68
19:36:55,437;68
19:36:55,469;69
19:36:55,500;69
19:36:55,531;70
19:36:55,562;70
19:36:55,594;71
19:36:55,625;72
19:36:55,656;73
19:36:55,687;74
19:36:55,719;75
19:36:55,750;77
19:36:55,781;78
19:36:55,812;80
19:36:55,844;81
19:36:55,875;83
19:36:55,906;85
19:36:55,937;86
19:36:55,969;87
19:36:56,000;89
19:36:56,031;90
19:36:56,062;90
19:36:56,094;91
19:36:56,125;91
19:36:56,156;91
19:36:56,187;90
19:36:56,219;89
19:36:56,250;88
19:36:56,281;87
19:36:56,312;85
19:36:56,344;83
19:36:56,375;81
19:36:56,406;79
19:36:56,438;76
19:36:56,469;73
19:36:56,500;71
19:36:56,531;68
19:36:56,562;65
19:36:56,594;62
19:36:56,625;59
19:36:56,656;55
19:36:56,688;52
19:36:56,719;48
19:36:56,750;44
19:36:56,781;40
19:36:56,812;35
19:36:56,844;30
19:36:56,875;24
19:36:56,906;18
19:36:56,937;12
19:36:56,969;5
19:36:57,000;-3
19:36:57,031;-11
19:36:57,062;-19
19:36:57,094;-28
19:36:57,125;-37
19:36:57,156;-47
19:36:57,187;-56
19:36:57,219;-66
19:36:57,250;-75
19:36:57,281;-85
19:36:57,312;-93
19:36:57,344;-101
19:36:57,375;-109
19:36:57,406;-115
19:36:57,437;-120
19:36:57,469;-125
19:36:57,500;-128
19:36:57,531;-130
19:36:57,562;-130
19:36:57,594;-129
19:36:57,625;-127
19:36:57,656;-124
19:36:57,687;-120
19:36:57,719;-114
19:36:57,750;-108
19:36:57,781;-101
19:36:57,812;-93
19:36:57,844;-85
19:36:57,875;-76
19:36:57,906;-67
19:36:57,938;-59
19:36:57,969;-50
19:36:58,000;-42
19:36:58,031;-34
19:36:58,062;-26
19:36:58,094;-19
19:36:58,125;-13
19:36:58,156;-7
19:36:58,188;-2
19:36:58,219;2
19:36:58,250;6
19:36:58,281;9
19:36:58,312;12
19:36:58,344;15
19:36:58,375;17
19:36:58,406;19
19:36:58,438;21
19:36:58,469;23
19:36:58,500;25
19:36:58,531;27
19:36:58,562;29
19:36:58,594;31
19:36:58,625;34
19:36:58,656;37
19:36:58,687;40
19:36:58,719;44
19:36:58,750;47
19:36:58,781;51
19:36:58,812;55
19:36:58,844;59
19:36:58,875;64
19:36:58,906;68
19:36:58,937;72
19:36:58,969;76
19:36:59,000;80
19:36:59,031;84
19:36:59,062;87
19:36:59,094;90
19:36:59,125;93
19:36:59,156;95
19:36:59,187;97
19:36:59,219;98
19:36:59,250;99
19:36:59,281;99
19:36:59,312;99
19:36:59,344;98
19:36:59,375;96
19:36:59,406;93
19:36:59,438;90
19:36:59,469;86
19:36:59,500;81
19:36:59,531;76
19:36:59,562;71
19:36:59,594;64
19:36:59,625;57
19:36:59,656;50
19:36:59,688;43
19:36:59,719;35
19:36:59,750;27
19:36:59,781;19
19:36:59,812;11
19:36:59,844;3
19:36:59,875;-4
19:36:59,906;-11
19:36:59,938;-18
19:36:59,969;-23
19:37:00,000;-29
19:37:00,031;-33
19:37:00,062;-37
19:37:00,094;-40
19:37:00,125;-42
19:37:00,156;-43
19:37:00,187;-44
19:37:00,219;-43
19:37:00,250;-42
19:37:00,281;-41
19:37:00,312;-39
19:37:00,344;-36
19:37:00,375;-33
19:37:00,406;-30
19:37:00,437;-27
19:37:00,469;-24
19:37:00,500;-21
19:37:00,531;-18
19:37:00,562;-15
19:37:00,594;-13
19:37:00,625;-11
19:37:00,656;-9
19:37:00,687;-8
19:37:00,719;-8
19:37:00,750;-7
19:37:00,781;-8
19:37:00,812;-8
19:37:00,844;-9
19:37:00,875;-10
19:37:00,906;-11
19:37:00,937;-12
19:37:00,969;-13
19:37:01,000;-13
19:37:01,031;-14
19:37:01,062;-14
19:37:01,094;-14
19:37:01,125;-13
19:37:01,156;-12
19:37:01,188;-11
19:37:01,219;-8
19:37:01,250;-6
19:37:01,281;-3
19:37:01,312;1
19:37:01,344;5
19:37:01,375;10
19:37:01,406;14
19:37:01,438;19
19:37:01,469;24
19:37:01,500;29
19:37:01,531;35
19:37:01,562;39
19:37:01,594;44
19:37:01,625;49
19:37:01,656;53
19:37:01,688;56
19:37:01,719;59
19:37:01,750;62
19:37:01,781;64
19:37:01,812;66
19:37:01,844;67
19:37:01,875;68
19:37:01,906;68
19:37:01,937;68
19:37:01,969;68
19:37:02,000;68
19:37:02,031;67
19:37:02,062;66
19:37:02,094;66
19:37:02,125;65
19:37:02,156;64
19:37:02,187;64
19:37:02,219;64
19:37:02,250;64
19:37:02,281;64
19:37:02,312;64
19:37:02,344;65
19:37:02,375;66
19:37:02,406;67
19:37:02,437;69
19:37:02,469;70
19:37:02,500;72
19:37:02,531;74
19:37:02,562;75
19:37:02,594;77
19:37:02,625;79
19:37:02,656;80
19:37:02,688;82
19:37:02,719;83
19:37:02,750;84
19:37:02,781;85
19:37:02,812;86
19:37:02,844;86
19:37:02,875;86
19:37:02,906;86
19:37:02,938;86
19:37:02,969;86
19:37:03,000;86
19:37:03,031;86
19:37:03,062;85
19:37:03,094;85
19:37:03,125;84
19:37:03,156;83
19:37:03,188;83
19:37:03,219;82
19:37:03,250;81
19:37:03,281;79
19:37:03,312;78
19:37:03,344;76
19:37:03,375;73
19:37:03,406;70
19:37:03,437;67
19:37:03,469;63
19:37:03,500;58
19:37:03,531;52
19:37:03,562;45
19:37:03,594;37
19:37:03,625;29
19:37:03,656;19
19:37:03,687;9
19:37:03,719;-2
19:37:03,750;-14
19:37:03,781;-26
19:37:03,812;-39
19:37:03,844;-52
19:37:03,875;-66
19:37:03,906;-79
19:37:03,937;-92
19:37:03,969;-105
19:37:04,000;-117
19:37:04,031;-128
19:37:04,062;-138
19:37:04,094;-147
19:37:04,125;-155
19:37:04,156;-162
19:37:04,188;-168
19:37:04,219;-172
19:37:04,250;-174
19:37:04,281;-176
19:37:04,312;-176
19:37:04,344;-174
19:37:04,375;-172
19:37:04,406;-168
19:37:04,438;-164
19:37:04,469;-158
19:37:04,500;-152
19:37:04,531;-145
19:37:04,562;-138
19:37:04,594;-130
19:37:04,625;-122
19:37:04,656;-114
19:37:04,688;-106
19:37:04,719;-97
19:37:04,750;-89
19:37:04,781;-80
19:37:04,812;-72
19:37:04,844;-63
19:37:04,875;-55
19:37:04,906;-46
19:37:04,937;-37
19:37:04,969;-29
19:37:05,000;-20
19:37:05,031;-11
19:37:05,062;-2
19:37:05,094;7
19:37:05,125;16
19:37:05,156;25
19:37:05,187;34
19:37:05,219;43
19:37:05,250;52
19:37:05,281;60
19:37:05,312;69
19:37:05,344;77
19:37:05,375;85
19:37:05,406;93
19:37:05,437;101
19:37:05,469;108
19:37:05,500;115
19:37:05,531;122
19:37:05,562;128
19:37:05,594;134
19:37:05,625;139
19:37:05,656;144
19:37:05,687;149
19:37:05,719;153
19:37:05,750;157
19:37:05,781;160
19:37:05,812;163
19:37:05,844;166
19:37:05,875;168
19:37:05,906;169
19:37:05,938;170
19:37:05,969;171
19:37:06,000;170
19:37:06,031;169
19:37:06,062;167
19:37:06,094;164
19:37:06,125;161
19:37:06,156;156
19:37:06,188;150
19:37:06,219;144
19:37:06,250;137
19:37:06,281;129
19:37:06,312;120
19:37:06,344;111
19:37:06,375;101
19:37:06,406;90
19:37:06,438;80
19:37:06,469;69
19:37:06,500;59
19:37:06,531;49
19:37:06,562;39
19:37:06,594;30
19:37:06,625;21
19:37:06,656;13
19:37:06,687;6
19:37:06,719;0
19:37:06,750;-5
19:37:06,781;-9
19:37:06,812;-12
19:37:06,844;-15
19:37:06,875;-16
19:37:06,906;-17
19:37:06,937;-17
19:37:06,969;-16
19:37:07,000;-15
19:37:07,031;-14
19:37:07,062;-13
19:37:07,094;-12
19:37:07,125;-11
19:37:07,156;-11
19:37:07,187;-11
19:37:07,219;-11
19:37:07,250;-12
19:37:07,281;-13
19:37:07,312;-15
19:37:07,344;-17
19:37:07,375;-20
19:37:07,406;-23
19:37:07,438;-27
19:37:07,469;-31
19:37:07,500;-35
19:37:07,531;-38
19:37:07,562;-42
19:37:07,594;-45
19:37:07,625;-49
19:37:07,656;-51
19:37:07,688;-53
19:37:07,719;-54
19:37:07,750;-55
19:37:07,781;-54
19:37:07,812;-53
19:37:07,844;-51
19:37:07,875;-49
19:37:07,906;-45
19:37:07,938;-41
19:37:07,969;-36
19:37:08,000;-31
19:37:08,031;-25
19:37:08,062;-19
19:37:08,094;-12
19:37:08,125;-6
19:37:08,156;1
19:37:08,187;8
19:37:08,219;14
19:37:08,250;20
19:37:08,281;26
19:37:08,312;31
19:37:08,344;36
19:37:08,375;41
19:37:08,406;45
19:37:08,437;49
19:37:08,469;52
19:37:08,500;55
19:37:08,531;57
19:37:08,562;60
19:37:08,594;61
19:37:08,625;63
19:37:08,656;65
19:37:08,687;66
19:37:08,719;67
19:37:08,750;69
19:37:08,781;70
19:37:08,812;71
19:37:08,844;73
19:37:08,875;74
19:37:08,906;76
19:37:08,937;78
19:37:08,969;80
19:37:09,000;82
19:37:09,031;84
19:37:09,062;86
19:37:09,094;88
19:37:09,125;90
19:37:09,156;92
19:37:09,188;93
19:37:09,219;95
19:37:09,250;96
19:37:09,281;97
19:37:09,312;97
19:37:09,344;97
19:37:09,375;97
19:37:09,406;96
19:37:09,438;95
19:37:09,469;93
19:37:09,500;91
19:37:09,531;89
19:37:09,562;87
19:37:09,594;85
19:37:09,625;83
19:37:09,656;80
19:37:09,687;78
19:37:09,719;76
19:37:09,750;74
19:37:09,781;72
19:37:09,812;70
19:37:09,844;69
19:37:09,875;68
19:37:09,906;68
19:37:09,937;67
19:37:09,969;67
19:37:10,000;67
19:37:10,031;68
19:37:10,062;68
19:37:10,094;68
19:37:10,125;69
19:37:10,156;69
19:37:10,187;68
19:37:10,219;68
19:37:10,250;67
19:37:10,281;65
19:37:10,312;62
19:37:10,344;59
19:37:10,375;56
19:37:10,406;51
19:37:10,437;46
19:37:10,469;40
19:37:10,500;34
19:37:10,531;27
19:37:10,562;19
19:37:10,594;11
19:37:10,625;3
19:37:10,656;-5
19:37:10,688;-14
19:37:10,719;-22
19:37:10,750;-31
19:37:10,781;-39
19:37:10,812;-47
19:37:10,844;-54
19:37:10,875;-61
19:37:10,906;-67
19:37:10,938;-73
19:37:10,969;-79
19:37:11,000;-84
19:37:11,031;-88
19:37:11,062;-92
19:37:11,094;-96
19:37:11,125;-99
19:37:11,156;-101
19:37:11,188;-104
19:37:11,219;-106
19:37:11,250;-108
19:37:11,281;-110
19:37:11,312;-112
19:37:11,344;-113
19:37:11,375;-114
19:37:11,406;-115
19:37:11,437;-116
19:37:11,469;-117
19:37:11,500;-117
19:37:11,531;-117
19:37:11,562;-117
19:37:11,594;-116
19:37:11,625;-114
19:37:11,656;-112
19:37:11,687;-110
19:37:11,719;-107
19:37:11,750;-104
19:37:11,781;-100
19:37:11,812;-95
19:37:11,844;-90
19:37:11,875;-85
19:37:11,906;-79
19:37:11,937;-73
19:37:11,969;-67
19:37:12,000;-61
19:37:12,031;-55
19:37:12,062;-50
19:37:12,094;-44
19:37:12,125;-38
19:37:12,156;-33
19:37:12,188;-28
19:37:12,219;-24
19:37:12,250;-19
19:37:12,281;-15
19:37:12,312;-11
19:37:12,344;-8
19:37:12,375;-5
19:37:12,406;-1
19:37:12,438;2
19:37:12,469;5
19:37:12,500;8
19:37:12,531;11
19:37:12,562;14
19:37:12,594;18
19:37:12,625;21
19:37:12,656;25
19:37:12,688;29
19:37:12,719;34
19:37:12,750;38
19:37:12,781;43
19:37:12,812;48
19:37:12,844;53
19:37:12,875;58
19:37:12,906;63
19:37:12,937;68
19:37:12,969;73
19:37:13,000;78
19:37:13,031;83
19:37:13,062;88
19:37:13,094;93
19:37:13,125;98
19:37:13,156;102
19:37:13,187;106
19:37:13,219;111
19:37:13,250;115
19:37:13,281;119
19:37:13,312;122
19:37:13,344;126
19:37:13,375;129
19:37:13,406;131
19:37:13,437;133
19:37:13,469;135
19:37:13,500;136
19:37:13,531;137
19:37:13,562;137
19:37:13,594;136
19:37:13,625;134
19:37:13,656;132
19:37:13,687;128
19:37:13,719;124
19:37:13,750;118
19:37:13,781;112
19:37:13,812;105
19:37:13,844;97
19:37:13,875;89
19:37:13,906;79
19:37:13,938;70
19:37:13,969;60
19:37:14,000;49
19:37:14,031;39
19:37:14,062;28
19:37:14,094;18
19:37:14,125;8
19:37:14,156;-1
19:37:14,188;-9
19:37:14,219;-17
19:37:14,250;-24
19:37:14,281;-30
19:37:14,312;-35
19:37:14,344;-39
19:37:14,375;-42
19:37:14,406;-44
19:37:14,437;-45
19:37:14,469;-45
19:37:14,500;-45
19:37:14,531;-43
19:37:14,562;-42
19:37:14,594;-40
19:37:14,625;-37
19:37:14,656;-35
19:37:14,687;-32
19:37:14,719;-29
19:37:14,750;-27
19:37:14,781;-25
19:37:14,812;-23
19:37:14,844;-22
19:37:14,875;-21
19:37:14,906;-20
19:37:14,937;-20
19:37:14,969;-21
19:37:15,000;-21
19:37:15,031;-22
19:37:15,062;-23
19:37:15,094;-24
19:37:15,125;-25
19:37:15,156;-26
19:37:15,187;-27
19:37:15,219;-28
19:37:15,250;-28
19:37:15,281;-28
19:37:15,312;-28
19:37:15,344;-27
19:37:15,375;-25
19:37:15,406;-23
19:37:15,438;-21
19:37:15,469;-18
19:37:15,500;-14
19:37:15,531;-10
19:37:15,562;-5
19:37:15,594;0
19:37:15,625;5
19:37:15,656;11
19:37:15,688;17
19:37:15,719;22
19:37:15,750;28
19:37:15,781;34
19:37:15,812;40
19:37:15,844;45
19:37:15,875;50
19:37:15,906;55
19:37:15,938;59
19:37:15,969;63
19:37:16,000;66
19:37:16,031;69
19:37:16,062;71
19:37:16,094;73
19:37:16,125;75
19:37:16,156;76
19:37:16,187;76
19:37:16,219;76
19:37:16,250;76
19:37:16,281;75
19:37:16,312;75
19:37:16,344;74
19:37:16,375;73
19:37:16,406;72
19:37:16,437;71
19:37:16,469;70
19:37:16,500;69
19:37:16,531;68
19:37:16,562;68
19:37:16,594;67
19:37:16,625;67
19:37:16,656;67
19:37:16,687;67
19:37:16,719;67
19:37:16,750;68
19:37:16,781;68
19:37:16,812;68
19:37:16,844;69
19:37:16,875;69
19:37:16,906;69
19:37:16,938;69
19:37:16,969;69
19:37:17,000;68
19:37:17,031;67
19:37:17,062;66
19:37:17,094;65
19:37:17,125;63
19:37:17,156;61
19:37:17,188;58
19:37:17,219;55
19:37:17,250;52
19:37:17,281;49
19:37:17,312;45
19:37:17,344;41
19:37:17,375;36
19:37:17,406;31
19:37:17,438;26
19:37:17,469;21
19:37:17,500;15
19:37:17,531;10
19:37:17,562;3
19:37:17,594;-3
19:37:17,625;-9
19:37:17,656;-16
19:37:17,687;-23
19:37:17,719;-31
19:37:17,750;-38
19:37:17,781;-46
19:37:17,812;-54
19:37:17,844;-62
19:37:17,875;-70
19:37:17,906;-78
19:37:17,937;-86
19:37:17,969;-94
19:37:18,000;-102
19:37:18,031;-110
19:37:18,062;-117
19:37:18,094;-124
19:37:18,125;-130
19:37:18,156;-136
19:37:18,187;-141
19:37:18,219;-145
19:37:18,250;-149
19:37:18,281;-151
19:37:18,312;-153
19:37:18,344;-153
19:37:18,375;-153
19:37:18,406;-151
19:37:18,437;-149
19:37:18,469;-146
19:37:18,500;-142
19:37:18,531;-137
19:37:18,562;-132
19:37:18,594;-126
19:37:18,625;-119
19:37:18,656;-113
19:37:18,688;-106
19:37:18,719;-98
19:37:18,750;-91
19:37:18,781;-84
19:37:18,812;-77
19:37:18,844;-70
19:37:18,875;-63
19:37:18,906;-56
19:37:18,938;-50
19:37:18,969;-43
19:37:19,000;-37
19:37:19,031;-31
19:37:19,062;-25
19:37:19,094;-19
19:37:19,125;-14
19:37:19,156;-8
19:37:19,188;-2
19:37:19,219;4
19:37:19,250;9
19:37:19,281;15
19:37:19,312;22
19:37:19,344;28
19:37:19,375;34
19:37:19,406;41
19:37:19,437;47
19:37:19,469;54
19:37:19,500;60
19:37:19,531;67
19:37:19,562;73
19:37:19,594;80
19:37:19,625;86
19:37:19,656;92
19:37:19,687;97
19:37:19,719;103
19:37:19,750;108
19:37:19,781;112
19:37:19,812;116
19:37:19,844;119
19:37:19,875;122
19:37:19,906;124
19:37:19,937;126
19:37:19,969;127
19:37:20,000;127
19:37:20,031;126
19:37:20,062;125
19:37:20,094;123
19:37:20,125;120
19:37:20,156;117
19:37:20,188;112
19:37:20,219;107
19:37:20,250;102
19:37:20,281;95
19:37:20,312;88
19:37:20,344;80
19:37:20,375;72
19:37:20,406;64
19:37:20,438;55
19:37:20,469;46
19:37:20,500;36
19:37:20,531;27
19:37:20,562;18
19:37:20,594;8
19:37:20,625;0
19:37:20,656;-9
19:37:20,688;-17
19:37:20,719;-24
19:37:20,750;-30
19:37:20,781;-36
19:37:20,812;-41
19:37:20,844;-46
19:37:20,875;-49
19:37:20,906;-51
19:37:20,937;-53
19:37:20,969;-54
19:37:21,000;-54
19:37:21,031;-54
19:37:21,062;-52
19:37:21,094;-51
19:37:21,125;-49
19:37:21,156;-46
19:37:21,187;-44
19:37:21,219;-41
19:37:21,250;-38
19:37:21,281;-35
19:37:21,312;-32
19:37:21,344;-29
19:37:21,375;-27
19:37:21,406;-24
19:37:21,437;-22
19:37:21,469;-20
19:37:21,500;-19
19:37:21,531;-17
19:37:21,562;-16
19:37:21,594;-15
19:37:21,625;-14
19:37:21,656;-12
19:37:21,688;-11
19:37:21,719;-10
19:37:21,750;-8
19:37:21,781;-7
19:37:21,812;-5
19:37:21,844;-2
19:37:21,875;0
19:37:21,906;3
19:37:21,938;7
19:37:21,969;10
19:37:22,000;15
19:37:22,031;19
19:37:22,062;24
19:37:22,094;29
19:37:22,125;34
19:37:22,156;39
19:37:22,188;45
19:37:22,219;50
19:37:22,250;56
19:37:22,281;61
19:37:22,312;66
19:37:22,344;71
19:37:22,375;75
19:37:22,406;79
19:37:22,437;82
19:37:22,469;85
19:37:22,500;88
19:37:22,531;90
19:37:22,562;92
19:37:22,594;93
19:37:22,625;93
19:37:22,656;94
19:37:22,687;94
19:37:22,719;93
19:37:22,750;93
19:37:22,781;92
19:37:22,812;91
19:37:22,844;91
19:37:22,875;90
19:37:22,906;89
19:37:22,937;89
19:37:22,969;89
19:37:23,000;89
19:37:23,031;89
19:37:23,062;89
19:37:23,094;90
19:37:23,125;91
19:37:23,156;92
19:37:23,187;93
19:37:23,219;94
19:37:23,250;95
19:37:23,281;96
19:37:23,312;97
19:37:23,344;97
19:37:23,375;97
19:37:23,406;97
19:37:23,438;97
19:37:23,469;97
19:37:23,500;95
19:37:23,531;94
19:37:23,562;92
19:37:23,594;90
19:37:23,625;88
19:37:23,656;85
19:37:23,688;82
19:37:23,719;79
19:37:23,750;75
19:37:23,781;72
19:37:23,812;68
19:37:23,844;65
19:37:23,875;61
19:37:23,906;57
19:37:23,938;53
19:37:23,969;49
19:37:24,000;45
19:37:24,031;41
19:37:24,062;37
19:37:24,094;33
19:37:24,125;28
19:37:24,156;24
19:37:24,187;19
19:37:24,219;13
19:37:24,250;8
19:37:24,281;2
19:37:24,312;-5
19:37:24,344;-12
19:37:24,375;-19
19:37:24,406;-26
19:37:24,437;-33
19:37:24,469;-41
19:37:24,500;-48
19:37:24,531;-56
19:37:24,562;-63
19:37:24,594;-70
19:37:24,625;-76
19:37:24,656;-82
19:37:24,687;-88
19:37:24,719;-92
19:37:24,750;-96
19:37:24,781;-99
19:37:24,812;-102
19:37:24,844;-103
19:37:24,875;-104
19:37:24,906;-104
19:37:24,938;-103
19:37:24,969;-102
19:37:25,000;-100
19:37:25,031;-98
19:37:25,062;-96
19:37:25,094;-94
19:37:25,125;-91
